simulation,seed,total_return,sharpe_ratio,max_drawdown,final_value
61,60,142.44286109352112,9.504712334395455,-4.661593807220459,242442.86109352112
62,61,131.54079780769348,8.531557906164482,-5.027692680358887,231540.79780769348
63,62,126.065049118042,7.894956548372467,-11.474494251305414,226065.049118042
64,63,162.07279333496095,9.917051880294565,-4.1534297654894266,262072.79333496094
65,64,144.74859139823914,8.151168447576373,-5.1011067965538786,244748.59139823914
66,65,128.65486722755432,8.692664054057506,-9.278459571571235,228654.86722755432
67,66,137.73711081004143,9.825500336017857,-3.672634099960327,237737.11081004143
68,67,124.6907696800232,8.72763600276414,-5.524347299001726,224690.7696800232
69,68,160.76043459534645,9.269075355793733,-4.850112078747772,260760.43459534645
70,69,152.73716084480287,7.4547878432603865,-7.0800455386729935,252737.16084480286
71,70,166.64500536346435,9.095017881708745,-4.669378655418881,266645.00536346436
72,71,94.32362599301338,8.019453410077691,-4.467266860961914,194323.62599301338
73,72,149.29395094680785,8.806681506970076,-5.736403360746858,249293.95094680786
74,73,93.57635407829285,8.59598198952583,-5.12872629737854,193576.35407829285
75,74,163.72202131843568,9.530717987985138,-4.453703968048096,263722.02131843567
76,75,115.2689197883606,8.263472901684036,-9.795489683011997,215268.9197883606
77,76,132.6262335033417,9.3627411946115,-4.597750152858406,232626.23350334167
78,77,132.81924404478073,8.124025928220334,-4.857209857064317,232819.24404478073
79,78,138.5660469379425,9.018059571677888,-7.543673432945254,238566.0469379425
80,79,127.82867191505431,8.760037770177423,-4.356857326507568,227828.67191505432
81,80,165.23235598754883,8.7775212215147,-3.669341718673706,265232.3559875488
82,81,139.37118080329896,10.347565316045213,-4.938753574787497,239371.18080329895
83,82,125.78143066692353,7.975147484434966,-7.622815224758468,225781.43066692352
84,83,145.0453752527237,8.675995369008177,-6.334666126865968,245045.3752527237
85,84,123.73134417915344,8.392062690138358,-5.834131186986723,223731.34417915344
86,85,94.98816952896118,7.63663997838851,-7.54372355231233,194988.16952896118
87,86,158.55765796661376,9.501371391274896,-4.114559240341187,258557.65796661377
88,87,154.90680806732178,8.981783902015907,-8.268613722765426,254906.80806732178
89,88,107.18982139778137,7.917818158216839,-7.558009348726475,207189.82139778137
90,89,115.72276729583739,9.20629434239443,-5.992914032954539,215722.7672958374
91,90,159.8651875896454,10.272136010313037,-3.6518460025787354,259865.1875896454
92,91,133.40944651603698,8.659152114138811,-7.076342089885052,233409.446516037
93,92,153.02158808517456,9.774659483402491,-4.66003989756714,253021.58808517456
94,93,121.48570321273804,9.018326080551804,-5.860173417841915,221485.70321273804
95,94,126.90192978858947,8.036410051402111,-7.083961989203727,226901.92978858948
96,95,195.61962019348144,7.944070318899363,-9.723414361353694,295619.62019348145
97,96,129.95781675434114,9.68615974979245,-6.65653136823897,229957.81675434113
98,97,145.56868835639955,8.479463062192591,-9.13817895305992,245568.68835639954
99,98,163.31276746940614,9.586987258496425,-5.518166151698515,263312.7674694061
100,99,133.470629781723,10.027530664147045,-4.01164328956604,233470.62978172302
